sample_id	stratum	issue_characterization
arvo_17855	rich-causal	Detailed multi-stage decoder accounting and underflow narrative
arvo_29564	rich-causal	Operation, pointer behavior, functions, and failure class
arvo_31301	concise-causal	Zero-length hash input and missing empty handling
arvo_14455	concise-property	PROXY-v2 parser and insufficient buffer claim
arvo_17171	semantic-property	Invalid UTF-8 accepted after RC4 decryption
arvo_23153	semantic-property	Fractional JPEG subsampling ratio accepted
arvo_3325	sparse-property	Wrong array index caused by missing validation
arvo_16457	extremely-sparse	Only file and out-of-bounds-read class
arvo_31332	input-example	Concrete malformed c-string example but little causal prose
arvo_13730	crash-stack	OSS-Fuzz UAF with sanitizer and three stack functions
arvo_15178	crash-stack	OSS-Fuzz double-free with sanitizer and stack functions
arvo_16051	crash-stack	OSS-Fuzz UAF with sanitizer and stack functions
arvo_20320	crash-stack	OSS-Fuzz UAF with sanitizer and stack functions
arvo_21550	crash-stack	OSS-Fuzz UAF write with sanitizer and stack functions
arvo_25530	crash-stack	OSS-Fuzz report with runtime failure metadata
arvo_31705	crash-stack	OSS-Fuzz invalid-free with sanitizer and stack functions
